"Bacteria","Degree","Strength","Betweenness","Eigen_vector"
"Bifidobacterium_catenulatum_DSM_16992",20,6.031974543,234,0.204007818036708
"Desulfovibrio_vulgaris_Miyazaki_F",20,7.414057158,152,0.000920989206789637
"Haemophilus_influenzae_NTHi_86_028NP",19,6.188548369,527,0.00484093618334957
"Clostridium_leptum_DSM_753",18,5.863202521,126,0.123075753994331
"Coprobacillus_sp_D7",18,6.559673938,394,0.0241264036823222
"Citrobacter_sp_30_2",18,6.763291751,236,0.000743966909329571
"Klebsiella_pneumoniae_342",18,7.168105771,54,0.000680502823150223
"Pasteurella_multocida_multocida_Pm70",18,7.625522747,39,0.0002858978491981
"Ruminococcus_gnavus_ATCC_29149",17,6.5316459,5,0.117902734591876
"Bifidobacterium_gallicum_DSM_20093",17,6.116454084,4,0.000974705077512173
"Clostridium_sp_7_2_43FAA",17,6.509882314,6,0.00159872601529434
"Cronobacter_sakazakii_ATCC_BAA_894",17,6.884688669,53,0.000202553444019542
"Citrobacter_koseri_ATCC_BAA_895",16,6.603823864,37,0.00069757888273869
"Escherichia_fergusonii_UMN026_ATCC_35469",16,5.284945526,460,0.00833102389795481
"Finegoldia_magna_ATCC_29328",16,6.24928615,11,0.000545637194223706
"Streptococcus_gordonii_Challis_CH1",16,5.550826571,372,0.0260074427520342
"Ruminococcus_lactaris_ATCC_29176",15,5.368639366,38,0.073974557167868
"Bifidobacterium_animalis_lactis_AD011",15,4.914189024,159,0.109348443832027
"Bifidobacterium_breve_DSM_20213",15,5.440068405,8,0.0347309838408984
"Campylobacter_concisus_13826",15,6.147554496,7,0.000189874417021468
"Haemophilus_parasuis_SH0165",15,6.760079499,65,0.000180806998952897
"Lactobacillus_johnsonii_NCC_533",15,6.225064046,13,0.000387535676595798
"Clostridium_sp_L2_50",14,4.65814499,151,0.122183929123956
"Actinobacillus_pleuropneumoniae_sv_7_AP76",14,6.164372709,122,0.000155135490958613
"Blautia_hydrogenotrophica_DSM_10507",14,4.961114998,729,0.0810365791241904
"Clostridium_perfringens_ATCC_13124",14,5.863809658,103,0.000641491986330047
"Lactobacillus_reuteri_SD2112_ATCC_55730",14,5.968244775,7,0.000152293783653538
"Leuconostoc_mesenteroides_mesenteroides_ATCC_8293",13,4.539819238,122,0.000935712400375563
"Clostridium_symbiosum_WAL_14163",13,5.530976953,0,0.0734289240585902
"Anaerococcus_hydrogenalis_DSM_7454",13,5.14665229,102,0.000343970744628463
"Lactobacillus_fermentum_IFO_3956",13,5.701957975,155,0.000798421752649141
"Enterobacter_sp_638",12,6.022114112,0,0.000403066335432706
"Streptococcus_mutans_UA159",12,4.63365105,378,0.00466225302985505
"Bacteroides_cellulosilyticus_DSM_14838",11,4.172070225,6,0.102096752769241
"Blautia_hansenii_VPI_C7_24_DSM_20583",11,4.453354069,26,0.0307456163467318
"Anaerostipes_caccae_DSM_14662",10,4.352284904,21,0.00555771897405464
"Clostridium_spiroforme_DSM_1552",10,3.924988973,205,0.00859127838262308
"Enterobacter_cancerogenus_ATCC_35316",10,4.613702435,0,0.00140686070033029
"Tropheryma_whipplei_Twist",10,4.155867475,44,3.3212945187985e-05
"Bacteroides_pectinophilus_ATCC_43243",9,4.124852238,1,0.0378790099857209
"Eubacterium_dolichum_DSM_3991",9,4.209487539,4,0.0235193068930339
"Methanobrevibacter_smithii_DSM_2375",9,3.568990615,1,0.0675064299369874
"Thermoanaerobacter_sp_X514",9,3.721094562,1,0.000316459987624266
"Clostridium_ramosum_VPI_0427_DSM_1402",8,3.796709761,27,0.0123644878118665
"Bacteroides_coprophilus_DSM_18228",7,3.448323098,150,0.0335300739959956
"Coprococcus_eutactus_ATCC_27759",7,3.435006979,67,0.0268836371651376
"Campylobacter_hominis_ATCC_BAA_381",7,3.253030764,0,0.000121122163629447
"Desulfovibrio_piger_ATCC_29098",7,3.04435682,15,0.0592801610336553
"Mitsuokella_multacida_DSM_20544",7,3.154785353,28,0.0491816292616983
"Proteus_penneri_ATCC_35198",7,3.142299411,7,5.91438511820906e-05
"Bifidobacterium_dentium_ATCC_27678",6,3.40940904,0,0.0173589558786072
"Lactobacillus_gasseri_ATCC_33323",6,3.198274901,0,0.0011489840472498
"Lactobacillus_sakei_sakei_23K",6,3.39139616,0,0.0049338278093056
"Lactococcus_lactis_cremoris_MG1363",6,2.977806567,0,0.000307786466350078
"Pediococcus_pentosaceus_ATCC_25745",6,3.019506859,257,1.37206110764175e-05
"Streptococcus_infantarius_infantarius_ATCC_BAA_102",6,3.510020966,1,0.00816844395657591
"Akkermansia_muciniphila_ATCC_BAA_835",5,2.657912215,0,0.00416083172556956
"Collinsella_stercoris_DSM_13279",5,3.096819005,0,0.00726242531669199
"Lactobacillus_hilgardii_ATCC_8290",5,2.635565952,1,5.40009924951982e-05
"Lactobacillus_salivarius_HO66_ATCC_11741",5,2.876170923,42,0.00133915792698394
"Pseudomonas_aeruginosa_LESB58",5,3.101347404,0,1.58789879733635e-06
"Staphylococcus_saprophyticus_saprophyticus_ATCC_15305",5,2.971649342,0,1.27877646579533e-06
"Fusobacterium_nucleatum_nucleatum_ATCC_25586",4,2.66994556,298,0.00186094494933872
"Lactobacillus_delbrueckii_bulgaricus_ATCC_11842",4,2.737795507,150,6.22343700668072e-05
"Lactobacillus_paracasei_ATCC_25302",4,2.406404972,1,5.72608944806812e-06
"Lactobacillus_ultunensis_DSM_16047",4,2.889866082,150,0.000271600117156556
"Helicobacter_pullorum_MIT_98_5489",3,2.444955279,0,0.00125496692323023
"Lactobacillus_acidophilus_NCFM",3,2.325505278,0,0.00558581116449449
"Lactobacillus_casei_casei_BL23",3,2.340550136,0,1.78275950221005e-06
"Lactobacillus_helveticus_DPC_4571",3,2.682502664,0,1.5592498384526e-05
"Proteus_mirabilis_HI4320",3,2.2398158,0,0.000168057375446607
"Megamonas_hypermegale_ART12_1",2,2,0,0
"Methanosphaera_stadtmanae_DSM_3091",2,2,0,0
