"Bacteria","Degree","Strength","Betweenness","Eigen_vector"
"Clostridiales_sp_SS3_4",41,19.324505431,210,0.0142777767684191
"Bacteroides_vulgatus_ATCC_8482",40,18.982244913,42,0.0144004820137735
"Faecalibacterium_prausnitzii_SL3_3",40,19.344164221,18,0.014620707680098
"Clostridium_phytofermentans_ISDg",40,19.446914882,602,0.767133959945767
"Fusobacterium_nucleatum_nucleatum_ATCC_25586",40,19.397383102,463,0.979887050533453
"Bifidobacterium_dentium_ATCC_27678",39,18.02926506,166,0.730793191704769
"Campylobacter_concisus_13826",39,18.869952792,327,0.947374222023518
"Candidatus_Sulcia_muelleri_GWSS",39,19.492469411,230,0.726753703569154
"Pediococcus_pentosaceus_ATCC_25745",39,18.89887533,72,0.934363826796179
"Anaerococcus_hydrogenalis_DSM_7454",38,18.917156724,2,0.959539724183454
"Bifidobacterium_gallicum_DSM_20093",38,17.835618623,336,0.908702897902208
"Lactobacillus_delbrueckii_bulgaricus_ATCC_11842",38,19.345275199,4,0.989815499443872
"Pseudomonas_aeruginosa_LESB58",38,19.530467786,5,1
"Streptococcus_suis_05ZYH33",38,19.424890277,5,0.992922979407744
"Bacteroides_sp_2_1_7",37,17.984481168,178,0.0153432856897874
"Collinsella_aerofaciens_ATCC_25986",37,17.391722271,209,0.0147382390137482
"Roseburia_intestinalis_M50_1",37,18.509701434,39,0.016122112636228
"Clostridium_symbiosum_WAL_14163",37,18.405500685,132,0.613977446795985
"Butyrivibrio_fibrisolvens_16_4",37,18.868393035,127,0.625507880369276
"Clostridium_hylemonae_DSM_15053",37,18.801220682,296,0.732650828578114
"Bacteroides_sp_2_2_4",36,17.910412357,264,0.0165531809839501
"Clostridium_methylpentosum_R2_DSM_5476",36,17.888981692,53,0.580528621796765
"Ruminococcus_torques_L2_14",36,18.417471032,15,0.0146183072701408
"Anaerofustis_stercorihominis_DSM_17244",36,17.117849783,56,0.801757424056327
"Anaerostipes_caccae_DSM_14662",36,17.762817391,175,0.694391517149965
"Blautia_hydrogenotrophica_DSM_10507",36,17.437127983,68,0.583098076376087
"Lactobacillus_helveticus_DPC_4571",36,15.874513592,262,0.798203838168881
"Escherichia_coli_O157_H7_EC4115",35,15.329695031,200,0.513712037279404
"Coprococcus_comes_ATCC_27758",35,16.573931988,933,0.0187818407875691
"Bacteroides_sp_4_3_47FAA",35,17.603001034,17,0.0157770640933064
"Bacteroides_xylanisolvens_XB1A",35,18.454529956,102,0.0174560701658562
"Clostridium_asparagiforme_DSM_15981",35,15.893186332,1538,0.335568177205159
"Eubacterium_hallii_DSM_3353",35,17.141469585,279,0.0145422598239987
"Bifidobacterium_animalis_lactis_AD011",35,16.419888693,862,0.753729805179175
"Bifidobacterium_breve_DSM_20213",35,16.415720205,260,0.688456596437942
"Clostridium_difficile_630",35,17.551552005,22,0.679512994786504
"Collinsella_stercoris_DSM_13279",35,16.417106226,24,0.559259218901699
"Streptococcus_infantarius_infantarius_ATCC_BAA_102",35,16.275973721,162,0.75650303529088
"Streptococcus_pneumoniae_Hungary19A_6",35,16.714628385,1017,0.602992672720623
"Streptococcus_sanguinis_SK36",35,16.150191001,469,0.669365177641686
"Bifidobacterium_pseudocatenulatum_DSM_20438",34,14.654352444,103,0.475285366048211
"Bryantella_formatexigens_I_52_DSM_14469",34,17.406541245,323,0.53987926576969
"Clostridium_scindens_ATCC_35704",34,16.733774973,71,0.392005328487819
"Enterococcus_faecalis_TX0104",34,16.326631254,371,0.405027010449676
"Parabacteroides_distasonis_ATCC_8503",34,17.608487878,4,0.0161891139589319
"Collinsella_intestinalis_DSM_13280",34,16.757181976,4,0.585645622815593
"Desulfovibrio_vulgaris_Miyazaki_F",34,16.220292922,168,0.686177193871053
"Bacteroides_dorei_5_1_36_D4",33,16.25001896,37,0.018538437110876
"Bacteroides_sp_9_1_42FAA",33,16.766670491,602,0.0186909559611364
"Bacteroides_sp_D1",33,17.241506504,14,0.0165659513009603
"Blautia_hansenii_VPI_C7_24_DSM_20583",33,16.415104229,107,0.399986543670564
"Clostridium_sp_SS2_1",33,14.75466514,201,0.0113366663665372
"Coprobacillus_sp_D7",33,15.257577239,501,0.492915922873853
"Dorea_formicigenerans_ATCC_27755",33,17.024839535,2,0.0152225120199635
"Actinomyces_odontolyticus_ATCC_17982",33,15.391255054,173,0.604707421868806
"Clostridium_ramosum_VPI_0427_DSM_1402",33,15.022181731,353,0.729575347574142
"Enterococcus_faecalis_TX1322",33,14.118107819,219,0.702932855906264
"Lactococcus_lactis_cremoris_MG1363",33,15.459350495,99,0.71397178551464
"Streptococcus_gordonii_Challis_CH1",33,14.605609448,563,0.594757231166665
"Streptococcus_pyogenes_M4_MGAS10750",33,18.490214177,108,0.942109525104504
"Bacteroides_intestinalis_341_DSM_17393",32,14.149980308,1050,0.27370713386576
"Dorea_longicatena_DSM_13814",32,15.067338401,20,0.0108511373879069
