"Bacteria","Degree","Strength","Betweenness","Eigen_vector"
"Bacteroides_vulgatus_ATCC_8482",49,19.466424586,176,0.930172082489436
"Faecalibacterium_prausnitzii_SL3_3",49,20.691708458,250,1
"Bacteroides_sp_9_1_42FAA",47,19.739420381,75,0.958478086972472
"Roseburia_intestinalis_M50_1",47,19.284364427,459,0.94710969417702
"Dorea_formicigenerans_ATCC_27755",46,18.944663762,39,0.929408125402214
"Bacteroides_ovatus_ATCC_8483",45,17.351636529,83,0.846378889081977
"Bacteroides_sp_2_2_4",45,18.275495173,157,0.89419788134516
"Eubacterium_rectale_M104_1",45,18.841462819,24,0.921490326132903
"Bacteroides_sp_4_3_47FAA",44,18.253073959,153,0.887147663990598
"Bacteroides_xylanisolvens_XB1A",44,17.688035388,115,0.871877206122926
"Parabacteroides_distasonis_ATCC_8503",44,17.415369956,107,0.864674604034061
"Bacteroides_dorei_DSM_17855",43,16.582771345,468,0.719797418689129
"Bacteroides_sp_D1",43,17.472014094,24,0.862594091310302
"Eubacterium_siraeum_70_3",43,16.484367875,38,0.792081083624438
"Bacteroides_sp_2_1_7",42,17.074969756,122,0.857704057655901
"Eubacterium_hallii_DSM_3353",42,17.242946744,7,0.815786234531858
"Ruminococcus_sp_SR1_5",42,16.998426818,27,0.801745217307332
"Ruminococcus_torques_L2_14",42,17.303075377,16,0.829790595722483
"Clostridiales_sp_SS3_4",41,17.273689959,8,0.844155938119104
"Collinsella_aerofaciens_ATCC_25986",41,16.870090431,8,0.850836301992378
"Coprococcus_comes_ATCC_27758",40,17.771067261,5,0.883025359266275
"Dorea_longicatena_DSM_13814",40,14.843756948,5,0.632158354524437
"Bacteroides_dorei_5_1_36_D4",39,16.018337436,34,0.76205734360479
"Pseudoflavonifractor_capillosus_ATCC_29799",39,14.124673366,256,0.478096440111121
"Ruminococcus_obeum_A2_162",39,15.560864648,11,0.727104971278649
"Clostridium_difficile_630",39,15.337578872,638,0.00575433716533275
"Clostridium_phytofermentans_ISDg",39,15.31976312,298,0.00418090702863238
"Bacteroides_thetaiotaomicron_VPI_5482",38,13.476594262,50,0.567300783859013
"Clostridium_sp_SS2_1",38,15.334316346,3,0.687525262793331
"Eubacterium_ventriosum_ATCC_27560",38,13.496871131,30,0.65831945208551
"Porphyromonas_gingivalis_ATCC_33277",38,14.181564753,148,0.00385405248790641
"Streptococcus_infantarius_infantarius_ATCC_BAA_102",38,13.439392205,430,0.00352340199294051
"Bifidobacterium_adolescentis_L2_32",37,12.562886913,36,0.559665476398996
"Bifidobacterium_longum_longum_CCUG_52486",37,13.848887454,49,0.696468637960935
"Holdemania_filiformis_VPI_J1_31B_1_DSM_12042",37,12.966593752,563,0.456827819258593
"Subdoligranulum_variabile_DSM_15176",37,13.135198792,1311,0.377081640104941
"Candidatus_Sulcia_muelleri_GWSS",37,14.95501027,227,0.00696548464717583
"Collinsella_stercoris_DSM_13279",37,14.65088537,720,0.0077338520421052
"Clostridium_sp_M62_1",36,12.376047193,1092,0.3802178078011
"Desulfovibrio_vulgaris_Miyazaki_F",36,13.413234896,62,0.00311760413693582
"Bacteroides_fragilis_3_1_12",35,11.835935104,143,0.470299531550657
"Ruminococcus_lactaris_ATCC_29176",35,12.157437113,14,0.518773000994562
"Butyrivibrio_fibrisolvens_16_4",35,14.146512952,197,0.00963153839581383
"Clostridium_hylemonae_DSM_15053",35,14.56798584,135,0.00579663611768557
"Clostridium_perfringens_ATCC_13124",34,12.558046089,81,0.00161056274112151
"Clostridium_sp_7_2_43FAA",34,12.732640221,51,0.00212581542779924
"Clostridium_leptum_DSM_753",33,10.829005452,91,0.483092500322121
"Anaerofustis_stercorihominis_DSM_17244",33,12.51676075,98,0.00235666312360857
"Bifidobacterium_animalis_lactis_AD011",33,11.344725078,286,0.00273991040631031
"Finegoldia_magna_ATCC_29328",33,12.070356343,13,0.00153748132829402
"Streptococcus_pyogenes_M4_MGAS10750",33,11.025830093,254,0.000791527241465606
"Streptococcus_suis_05ZYH33",33,10.991737873,184,0.000875662305654132
"Anaerococcus_hydrogenalis_DSM_7454",32,11.366817181,726,0.00102192166440642
"Bryantella_formatexigens_I_52_DSM_14469",31,12.72793436,295,0.0169360950472755
"Streptococcus_thermophilus_LMD_9",31,9.822999073,198,0.380391254047403
"Bifidobacterium_breve_DSM_20213",31,11.315202553,26,0.00748899210668847
"Bifidobacterium_dentium_ATCC_27678",31,10.581866919,139,0.00650685912209983
"Bifidobacterium_gallicum_DSM_20093",31,10.848601423,50,0.000907829903749395
"Bacteroides_cellulosilyticus_DSM_14838",30,10.134872533,35,0.418098662767597
"Coprococcus_eutactus_ATCC_27759",30,10.02010028,14,0.496330540686105
"Ruminococcus_bromii_L2_63",30,10.425358814,24,0.39311631998719
"Anaerostipes_caccae_DSM_14662",30,11.609775733,314,0.00714176951072231
"Leuconostoc_mesenteroides_mesenteroides_ATCC_8293",29,9.305440769,133,0.0012977844999525
"Citrobacter_koseri_ATCC_BAA_895",29,9.965018142,222,0.00126036365621417
"Streptococcus_pneumoniae_Hungary19A_6",29,11.102730213,203,0.00730845940180944
"Anaerotruncus_colihominis_DSM_17241",28,10.654677878,254,0.144902209414376
"Blautia_hansenii_VPI_C7_24_DSM_20583",28,11.633459535,451,0.024825681024284
"Enterococcus_sp_7L76",28,9.747226588,107,0.00189277184997391
"Eubacterium_dolichum_DSM_3991",28,10.799178696,235,0.00814175290821938
"Clostridium_methylpentosum_R2_DSM_5476",27,11.189348047,767,0.0245338880980294
"Clostridium_scindens_ATCC_35704",27,10.917956525,558,0.0427249740403954
"Enterococcus_faecalis_TX0104",27,10.046330702,1000,0.0520983243037917
"Actinomyces_odontolyticus_ATCC_17982",27,10.075073795,268,0.00419618239577081
